,Reward,Reward_WM,L2_Coef,AvgDiff_Coef
82,6279.513762298946,6116.843560311198,0.28242942690849304,3.1384289264678955
83,7513.467545198745,7474.462159460038,0.28242942690849304,3.1384289264678955
84,8505.169461989877,8179.577691385895,0.28242942690849304,3.1384289264678955
85,7548.5274274209005,7480.748451764509,0.28242942690849304,3.1384289264678955
86,8268.535758575676,8567.95304081887,0.28242942690849304,3.1384289264678955
87,5193.187740343112,5135.57047841195,0.28242942690849304,3.1384289264678955
88,8352.321707074922,8279.000408960133,0.28242942690849304,3.1384289264678955
89,8914.153559641712,8496.51997977011,0.28242942690849304,3.1384289264678955
90,7136.8168939242705,7224.067230282724,0.28242942690849304,3.1384289264678955
91,8817.57081510307,8730.88938592188,0.28242942690849304,3.1384289264678955
92,8722.081919952665,8465.530768828652,0.28242942690849304,3.1384289264678955
